% Model,gmshNewMeshX10Dif.mph
% Version,COMSOL 5.5.0.359
% Date,"Aug 12 2024, 20:25"
% Dimension,3
% Nodes,1730
% Expressions,1
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0
0.001117,0.001309,0,400
0,9.79E-4,9.33E-4,399.9999999999999
4.07E-4,9.86E-4,8.09E-4,399.9999999999999
0,9.81E-4,0.001313,399.9999999999999
0,0.00131,7.39E-4,400
0,0.001311,0.001122,400
5.35E-4,0.001145,0.001182,399.9999999999999
0,0.001309,0.001504,399.9999999999999
5.87E-4,6.0E-4,0.001314,399.99999999999994
0,6.51E-4,0.001503,400
5.49E-4,0,0.001644,399.9999999999999
0.001108,5.27E-4,0.001108,399.9999999999999
0.001122,0,0.001311,399.99999999999994
0.001314,5.84E-4,5.85E-4,399.9999999999999
0.001503,0,6.51E-4,399.9999999999999
0.001501,6.52E-4,0,400
0.001787,4.69E-4,4.69E-4,399.99999999999994
0.001876,0,6.49E-4,399.99999999999994
0.00226,0,6.07E-4,399.9999999999999
0.001875,6.49E-4,0,400
0.001897,3.54E-4,8.36E-4,400
0.001692,0,9.8E-4,399.99999999999994
0.002078,0,9.63E-4,399.99999999999994
6.08E-4,0.001304,6.1E-4,399.9999999999999
5.48E-4,0.001644,0,399.9999999999999
0,0.001644,5.49E-4,399.9999999999999
0.001147,0.001129,5.41E-4,399.99999999999994
0,0.00225,0,399.99999999999994
0,0.002625,0,399.99999999999994
0,0.002421,2.89E-4,400
2.89E-4,0.002421,0,400
0,0.002725,2.58E-4,399.99999999999994
4.73E-4,0.001816,4.73E-4,399.99999999999994
3.43E-4,0.002011,0,399.99999999999994
7.37E-4,0.001963,0,399.99999999999994
0,0.002011,3.43E-4,399.99999999999994
0,0.001963,7.37E-4,399.99999999999994
0,0.002288,6.03E-4,399.9999999999999
0.00226,6.07E-4,0,399.9999999999999
0.001573,9.53E-4,4.53E-4,399.9999999999999
0.001992,8.45E-4,4.22E-4,399.99999999999994
0.001503,0.001308,0,399.9999999999999
0.001691,9.8E-4,0,400
0.002078,9.63E-4,0,400
6.03E-4,0.002288,0,399.9999999999999
8.45E-4,0.001945,3.88E-4,399.99999999999994
9.02E-4,0.002239,0,399.9999999999999
9.27E-4,0.00164,0,399.99999999999994
0.001138,0.002007,0,399.99999999999994
4.49E-4,9.44E-4,0.00159,399.9999999999999
0,9.8E-4,0.001692,400
0,6.49E-4,0.001876,400
0.001504,0,0.001309,399.9999999999999
0.001913,0,0.001325,399.99999999999994
4.62E-4,4.66E-4,0.001817,399.99999999999994
0,3.19E-4,0.002054,399.9999999999999
3.43E-4,0,0.002011,399.99999999999994
7.37E-4,0,0.001963,399.99999999999994
0,0,0.00225,399.99999999999994
0,6.07E-4,0.00226,400
0.001037,4.72E-4,0.001587,399.99999999999994
9.27E-4,0,0.00164,399.99999999999994
0.0013,0,0.001633,400
8.46E-4,3.96E-4,0.001943,400
0.001138,0,0.002007,399.99999999999994
6.03E-4,0,0.002288,399.9999999999999
9.02E-4,0,0.002239,399.9999999999999
4.18E-4,8.48E-4,0.002006,399.9999999999999
0,9.63E-4,0.002078,399.99999999999994
0,0.001325,0.001913,399.99999999999994
0,2.88E-4,0.002424,399.9999999999999
2.89E-4,0,0.002421,399.9999999999999
0,0,0.002625,399.99999999999994
2.58E-4,0,0.002725,399.99999999999994
0,2.56E-4,0.002726,399.9999999999999
1.84E-19,-4.5E-35,0.003,199.99999999999997
0.00258,3.7E-4,3.7E-4,399.99999999999994
0.002631,0,5.4E-4,399.9999999999999
0.002502,0,8.7E-4,399.9999999999999
0.002726,0,2.56E-4,399.99999999999994
0.002726,2.56E-4,0,399.99999999999994
0.002631,5.4E-4,0,399.9999999999999
0.003,-3.7E-19,2.49E-16,199.99999999999997
0.001594,4.72E-4,0.001069,399.99999999999994
0.002291,5.74E-4,5.74E-4,399.99999999999994
0.002169,5.08E-4,0.001087,399.99999999999994
0.002372,0,0.001185,400
0.002258,0,0.001526,399.99999999999994
