% Model,AdvancedModel.mph
% Version,COMSOL 5.5.0.359
% Date,"May 26 2024, 19:00"
% Dimension,3
% Nodes,733
% Expressions,3
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0,Tcell (kg/m^3) @ t=0.01,Tcell (kg/m^3) @ t=0.02
0,2.655898305419957E-4,3.210676536622348E-4,399.9999998169428,399.9565285599432,399.9168435937224
8.29317115823343E-5,3.960243533707325E-4,1.7195338516003716E-4,399.99999981217104,399.9581829071289,399.92193798593854
0,3.766352102191716E-4,1.8434322331718514E-4,399.9999998238458,399.95568350739546,399.9148925073365
7.692357656741218E-5,3.082511037063094E-4,2.933024410200576E-4,399.99999981118737,399.9578009794862,399.9204771395075
5.273629682756102E-5,3.555329101113598E-4,2.3049708673076236E-4,399.9999998073485,399.9582788561083,399.9217478540031
0,0,5.000000000781955E-4,199.99999996354296,199.99149387649774,199.98258306877509
0,1.9173879507676964E-4,4.6177426527069633E-4,239.99999994746335,239.98767086040908,239.97597864334307
9.80375317281704E-5,0,4.902860337595067E-4,171.42857140708915,171.4207044869319,171.4121858914505
1.4365492772158535E-4,7.90204115026302E-5,4.723547780792076E-4,233.33333329740213,233.32523188648167,233.3174077123347
1.8712857693968413E-4,1.1975561951840119E-4,3.8681729538090286E-4,399.9999998216763,399.9592608273092,399.9222540066301
0,9.805820160755464E-5,4.902819036097594E-4,199.99999997674811,199.99149108676679,199.9816190762249
7.762288300226919E-5,1.5053455158938822E-4,4.70440258561348E-4,218.18181815782668,218.1758509565484,218.17002278524453
6.933145482546313E-5,6.933145482540514E-5,4.902920546071155E-4,179.9999999839243,179.9963331543532,179.9926462801603
0,2.7800363965556563E-4,4.155883008177276E-4,239.9999999583979,239.98996451778018,239.98043992862645
0,3.536208568827825E-4,3.534859114910918E-4,266.66666660886824,266.6522254997699,266.6384600758019
0,4.1569437670412913E-4,2.778449892341937E-4,239.99999994600964,239.98606898253954,239.97174647382116
0,4.6184738960739494E-4,1.9156258320180894E-4,199.99999997396827,199.9941700108691,199.98861463013736
0,4.903082611833347E-4,9.796550123160424E-5,239.99999994662394,239.98678844311507,239.97399230988808
8.583992932506799E-5,2.3284723773680914E-4,4.340664355550678E-4,181.8181818025587,181.81454448384778,181.8107249755074
1.6491788725832063E-4,1.681872247800377E-4,4.4103871479696905E-4,181.81818180430915,181.8151008864839,181.81168430374038
1.7373676327160734E-4,2.499645679304312E-4,3.9665255820773833E-4,199.99999996014975,199.99063568359148,199.98130017607056
1.9048106452974057E-4,2.111434490378223E-4,3.2524250831561383E-4,399.9999998126752,399.9573213870541,399.9201920146406
1.7488633038859397E-4,3.1815233318760244E-4,3.437933454787042E-4,199.99999996740513,199.99242486757805,199.98524432430267
3.0549510668359466E-4,9.280799294806902E-5,3.8478489615087946E-4,199.9999999732862,199.99376065473948,199.98760877376907
3.535233199778047E-4,0,3.5358345873897685E-4,199.99999997374957,199.99380164179607,199.98761102286247
4.155960480442386E-4,0,2.779920571079826E-4,239.99999995261922,239.98881580078293,239.97855882810413
4.1559604804165264E-4,2.7799205710589636E-4,0,239.9999999558003,239.98890626650243,239.97789214885964
4.617646597396045E-4,1.917619279915932E-4,0,159.99999998180758,159.99646180759862,159.99259562231876
4.3425526415193636E-4,2.3704912657650275E-4,7.231927271679448E-5,199.9999999738392,199.9931053061645,199.98610659429272
1.9918785735491168E-4,3.1534222704289645E-4,1.9950746086775108E-4,399.999999816148,399.95797767617455,399.91993760446786
2.2864448668844984E-4,2.573262557897644E-4,2.4047185042899705E-4,399.99999981919063,399.95762007749886,399.9194252832713
2.905518609429931E-4,3.424962989884029E-4,2.1971777658909002E-4,224.99999995915778,224.9901529686706,224.980479326905
2.352775185688739E-4,3.3393667677088544E-4,2.883240975385243E-4,181.81818180390587,181.81503202450136,181.81153404198284
2.1715791812912974E-4,3.962912022280613E-4,2.139993497561169E-4,222.22222219111507,222.21371778483848,222.2046531564654
3.17009232437513E-4,2.9056764585817194E-4,1.4720065289070754E-4,399.9999997950603,399.9583441681831,399.9250229747212
2.7368563299424385E-4,3.918852657665519E-4,1.4670416773254015E-4,199.99999997566565,199.99335091339188,199.98598249443262
2.1534690095220118E-4,3.6617030363853806E-4,1.488352277526178E-4,399.9999998002281,399.95955918513386,399.927178888914
3.8055307700316264E-4,3.1500888357752986E-4,7.712819791263521E-5,166.66666665577586,166.6637021923243,166.65982495715022
3.4007777851824384E-4,3.3440612017708105E-4,1.5006549039541398E-4,171.42857142429935,171.42588563206502,171.42195299239026
2.3809628675179685E-4,4.328610199197326E-4,7.708109841944408E-5,215.38461534714463,215.37603829486682,215.36779098324067
1.916833758417185E-4,4.6179727160705847E-4,0,239.9999999553388,239.98867163978844,239.97748442296552
3.1407394272173574E-4,3.812198255001805E-4,7.764665616881112E-5,199.9999999691057,199.99330804917074,199.98672754917615
3.535233199762315E-4,3.535834587384807E-4,0,266.6666666022292,266.65168669731196,266.63784176650285
2.779213599287232E-4,4.1564332513539044E-4,0,199.9999999815789,199.99483489964078,199.9891141956199
1.4544569611448204E-4,4.70705280263301E-4,8.533515498640866E-5,169.23076921831085,169.22768586421944,169.22444968215947
1.4297209988790632E-4,4.419887657730325E-4,1.849456937934483E-4,218.18181814357914,218.17285261987615,218.16403559011565
6.95234716204163E-5,4.732233095100536E-4,1.4569209413909306E-4,181.81818179702387,181.812973541458,181.80748119676358
2.1108104166010994E-4,4.2868185898413516E-4,1.472299483632613E-4,179.9999999811037,179.9949991999142,179.98949509936153
1.5499194273375873E-4,3.664454573927949E-4,1.6906749536422199E-4,399.99999981934855,399.95694690515364,399.9192128402215
6.19187354649292E-5,4.917333472838086E-4,6.606349546213158E-5,199.99999998065084,199.99448462466083,199.98796114038092
3.9528529681672115E-4,2.6660348647237635E-4,1.5057262429713723E-4,228.5714285333751,228.56257845110525,228.5543961960714
3.471863452754702E-4,2.843206867131619E-4,2.2050711741239672E-4,199.99999997110675,199.99290429989446,199.98586467150884
2.9519146030867013E-4,2.547007034184394E-4,2.338431676121316E-4,399.9999998018582,399.9594534802785,399.9268915274778
3.1643474785030803E-4,1.9545268340162924E-4,1.8725481521658606E-4,399.9999998176831,399.956923051483,399.91686832985926
4.6176465973466656E-4,0,1.9176192799107294E-4,199.99999997807157,199.99298518979296,199.9848155085131
4.6973386266595696E-4,8.864360620568588E-5,1.4660289700802118E-4,253.33333328849477,253.32271100619323,253.31241889742842
4.7209548410861405E-4,1.4971244896257668E-4,6.864427560547235E-5,199.99999997675584,199.99463846242796,199.98961973105563
3.9654296296968186E-4,2.1457214185524796E-4,2.1613068851778638E-4,181.8181818064639,181.81503141365909,181.81113965412828
3.981064907175993E-4,1.554911501867207E-4,1.553495920829061E-4,399.99999979770797,399.9615993399857,399.9303479660495
4.3369294909959856E-4,8.269594686038278E-5,2.3467382968716228E-4,181.81818179774174,181.81343156343002,181.80872258908624
