% Model,AdvancedModel.mph
% Version,COMSOL 5.5.0.359
% Date,"Sep 8 2024, 18:57"
% Dimension,3
% Nodes,1158
% Expressions,2
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0,Tcell (kg/m^3) @ t=0.2
0.001497,0,0.001108,399.99999999999994,399.2881811394356
0.001281,0,0.001478,399.9999999999999,399.34045771396165
0.001615,4.55E-4,9.84E-4,399.9999999999999,399.3242904212595
0.001917,0,0.001117,400,399.2501368044119
5.38E-4,0.00118,0.001171,399.9999999999999,399.26894320009893
0,0.001084,0.00112,399.99999999999994,399.23101412049584
0,0.001497,0.001108,399.99999999999994,399.28880457719885
4.52E-4,0.001617,9.79E-4,399.99999999999994,399.3356513469722
0,0.001917,0.001117,400,399.2353068318853
0,0.001694,0.001504,399.9999999999999,399.2397807638952
0,0.001281,0.001478,399.9999999999999,399.38759474056013
0.001185,0.001167,5.27E-4,399.99999999999994,399.2765453146058
0.001084,0.00112,0,399.99999999999994,399.2196228576529
0.001497,0.001108,0,399.99999999999994,399.30778387757965
0.001606,9.25E-4,4.28E-4,399.99999999999994,399.3157780973891
0.001917,0.001117,0,400,399.24545208008954
0.001281,0.001478,0,400,399.34946438931553
0.001694,0.001504,0,399.9999999999999,399.2602915914878
7.09E-4,0.001805,0,399.99999999999994,399.2853554426727
0.001033,0.001614,4.35E-4,399.9999999999999,399.3303227400948
0.001069,0.001851,0,400,399.2727954024499
0.001463,0.001834,0,399.9999999999999,399.2156225088913
0,0.002704,2.75E-4,399.99999999999994,399.2698612152123
2.81E-4,0.002698,0,399.99999999999994,399.21519099511124
0,0.003,0,199.99999999999997,199.8595225357911
6.0E-4,0.002299,5.53E-4,399.99999999999994,399.2401263738541
6.1E-4,0.002599,0,399.9999999999999,399.2258446020895
0,0.002647,5.76E-4,399.9999999999999,399.22466243852904
7.57E-4,0.002186,0,399.99999999999994,399.20524479327537
0.001694,0,0.001504,399.9999999999999,399.2465843580687
4.45E-4,0.001023,0.001625,399.9999999999999,399.29707205939764
0,8.73E-4,0.001487,399.99999999999994,399.2771141304909
0,0.001069,0.001851,400,399.2848387638187
0,0.001463,0.001834,399.9999999999999,399.19885600416075
0,7.09E-4,0.001805,399.99999999999994,399.33036808486537
4.53E-4,5.09E-4,0.001702,399.99999999999994,399.28779021175876
8.73E-4,0,0.001487,399.99999999999994,399.2496020966636
0.001016,4.45E-4,0.001625,399.9999999999999,399.3259606142787
0.001069,0,0.001851,399.99999999999994,399.2885057715402
0.001463,0,0.001834,399.9999999999999,399.22982078104565
3.71E-4,0,0.001929,399.9999999999999,399.3051875900708
0,3.71E-4,0.001929,400,399.2914788046004
0,7.57E-4,0.002186,399.99999999999994,399.21625222943504
0,0,0.002143,399.99999999999994,399.3055190261001
0,3.36E-4,0.002354,400,399.2778202591387
3.36E-4,0,0.002354,400,399.2377255007725
0,0,0.002571,399.99999999999994,399.30708839396084
7.09E-4,0,0.001805,399.99999999999994,399.32005791759417
7.57E-4,0,0.002186,399.99999999999994,399.19891938788373
0,2.81E-4,0.002698,399.99999999999994,399.242549160813
2.81E-4,0,0.002698,399.99999999999994,399.23582537079983
1.84E-19,-4.5E-35,0.003,199.99999999999997,199.89717688780271
4.3E-4,0.00232,9.96E-4,399.99999999999994,399.2303280219624
0,0.002507,9.2E-4,399.99999999999994,399.2244931463086
0,0.002307,0.001243,399.9999999999999,399.2089358168945
0.002704,0,2.75E-4,399.99999999999994,399.262119261838
0.002704,2.75E-4,0,399.99999999999994,399.2240328627144
0.003,-3.7E-19,2.49E-16,199.99999999999997,199.88114690122222
0.002352,5.75E-4,5.07E-4,399.99999999999994,399.2349486045996
0.002647,0,5.76E-4,399.9999999999999,399.2140791045881
0.002647,5.76E-4,0,399.9999999999999,399.2187959098128
0.002507,9.2E-4,0,399.99999999999994,399.22791610856615
0.002308,4.4E-4,9.71E-4,399.99999999999994,399.23118927204547
0.002507,0,9.2E-4,399.99999999999994,399.22772639512925
0.002307,0,0.001243,399.9999999999999,399.2078470000438
0.002334,0.001023,4.12E-4,399.9999999999999,399.22775760659493
0.002307,0.001243,0,400,399.25414468308884
0.00199,0.001302,5.3E-4,399.99999999999994,399.21303485974926
0.002095,0.001556,0,399.9999999999999,399.20840415035434
0.00149,7.04E-4,0.001583,399.99999999999994,399.23831227682655
0.002729,0.001246,0,199.99999999999994,199.88875899620646
