% Model,gmshModel.mph
% Version,COMSOL 5.5.0.359
% Date,"Aug 30 2024, 21:22"
% Dimension,3
% Nodes,1705
% Expressions,1
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0
7.57E-4,6.4E-4,1.29E-4,199.99999999999994
8.09E-4,5.88E-4,0,199.99999999999997
7.07E-4,7.07E-4,0,199.99999999999997
6.54E-4,7.46E-4,1.27E-4,218.18181818181816
5.88E-4,8.09E-4,0,199.99999999999997
7.89E-4,5.55E-4,2.61E-4,222.22222222222217
7.03E-4,6.64E-4,2.53E-4,149.99999999999997
8.46E-4,5.17E-4,1.29E-4,160
8.91E-4,4.54E-4,0,199.99999999999997
9.15E-4,3.79E-4,1.36E-4,239.99999999999997
9.51E-4,3.09E-4,0,199.99999999999997
8.65E-4,4.41E-4,2.39E-4,166.66666666666663
1.34E-4,9.15E-4,3.81E-4,199.99999999999994
0,8.91E-4,4.54E-4,199.99999999999997
5.32E-4,8.37E-4,1.26E-4,166.66666666666663
2.56E-4,9.18E-4,3.02E-4,160
4.69E-4,8.49E-4,2.45E-4,149.99999999999997
3.57E-4,9.02E-4,2.43E-4,199.99999999999994
1.35E-4,8.44E-4,5.19E-4,166.66666666666663
0,8.09E-4,5.88E-4,199.99999999999997
3.83E-4,8.55E-4,3.5E-4,218.18181818181816
2.69E-4,8.54E-4,4.46E-4,171.4285714285714
2.78E-4,7.75E-4,5.68E-4,177.77777777777774
5.91E-4,7.67E-4,2.51E-4,160
5.15E-4,7.74E-4,3.68E-4,239.99999999999997
6.32E-4,6.77E-4,3.77E-4,181.8181818181818
4.12E-4,5.57E-4,4.12E-4,399.99999999999994
5.34E-4,6.85E-4,4.96E-4,171.4285714285714
4.18E-4,6.85E-4,5.96E-4,199.99999999999994
4.05E-4,7.8E-4,4.77E-4,181.8181818181818
9.71E-4,1.68E-4,1.69E-4,166.66666666666663
9.57E-4,2.68E-4,1.13E-4,180
9.57E-4,1.12E-4,2.69E-4,199.99999999999997
9.51E-4,-2.3E-19,3.09E-4,199.99999999999997
7.59E-4,1.23E-4,6.4E-4,181.8181818181818
8.09E-4,-2.0E-19,5.88E-4,199.99999999999997
8.48E-4,1.26E-4,5.14E-4,177.77777777777774
8.91E-4,-2.2E-19,4.54E-4,199.99999999999997
9.14E-4,1.31E-4,3.84E-4,215.38461538461536
9.22E-4,2.72E-4,2.74E-4,199.99999999999994
8.62E-4,2.54E-4,4.38E-4,222.22222222222217
6.47E-4,5.76E-4,4.99E-4,200
5.92E-4,4.19E-4,3.94E-4,399.99999999999994
7.33E-4,5.56E-4,3.92E-4,199.99999999999997
8.28E-4,4.19E-4,3.73E-4,157.1428571428571
6.98E-4,2.39E-4,6.76E-4,160
7.24E-4,3.51E-4,5.94E-4,254.5454545454545
7.93E-4,3.51E-4,4.97E-4,199.99999999999997
6.26E-4,3.5E-4,6.97E-4,199.99999999999997
4.7E-4,4.13E-4,5.31E-4,399.99999999999994
7.45E-4,4.54E-4,4.89E-4,149.99999999999997
7.9E-4,2.33E-4,5.67E-4,149.99999999999997
3.75E-4,3.07E-4,8.75E-4,218.18181818181816
5.05E-4,3.3E-4,7.97E-4,239.99999999999997
3.46E-4,4.34E-4,6.42E-4,399.99999999999994
4.64E-4,2.39E-4,8.53E-4,124.99999999999999
5.38E-4,5.8E-4,6.12E-4,200
5.27E-4,4.61E-4,7.14E-4,200
6.45E-4,4.65E-4,6.07E-4,160
4.01E-4,4.47E-4,7.99E-4,133.33333333333331
4.16E-4,5.72E-4,7.07E-4,171.4285714285714
