% Model,AdvancedModel.mph
% Version,COMSOL 5.5.0.359
% Date,"May 27 2024, 16:33"
% Dimension,3
% Nodes,78
% Expressions,3
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0,Tcell (kg/m^3) @ t=0.01,Tcell (kg/m^3) @ t=0.02
0,0.014128128287453995,0.041062579110772934,399.9999998164546,399.95430063610274,399.90899234522595
0.015073967302501995,0,0.04074822182637353,399.99999980929397,399.952548796284,399.90554533339815
0,0,0.0600000000080908,199.99999997710648,199.9940774128861,199.9878654871486
0,0,0.030000000002760575,399.99999986143325,399.9651518523196,399.92989642670176
0.02892712310838097,0,0.023015036545169027,399.9999998069539,399.95200331597135,399.90452102017883
0.030000000005125243,0,0,399.99999984972567,399.9624460864529,399.92492558977733
0,0,0,399.99999984859033,399.96235877198706,399.92512986211176
0.017368084302918335,0.02217457722817839,0.021979696112705217,399.99999982588986,399.95651334593083,399.91313631850187
0.04106151829113088,0.01412397279457197,0,399.9999998247308,399.9562836964136,399.91276763147175
0,0.024441522846901948,0.02445118330606859,399.99999981434013,399.95386452157794,399.9082599009407
0,0.030000000005098438,0,399.9999998520487,399.9630282487979,399.92608658841414
0.012665036883120083,0.03662308215174949,0.015880855081102416,399.9999998299076,399.95747804324185,399.91497268554895
0,0.04106151829078376,0.014123972795186523,399.9999998057701,399.9517140709901,399.903973004855
0,0.029999973375994506,0.05196142044106227,159.9999999784842,159.9946741247484,159.98947808002947
0,0.051961443527883726,0.02999993339038053,199.99999995704056,199.98944825017304,199.9792322646339
0.02121322109734873,0.021213221099019998,0.051961509814327234,179.99999997698967,179.99452420391478,179.98944261671656
0.029999973375578307,0,0.05196142044067923,159.99999997932161,159.99444797071516,159.98832095788703
0.024441522847229658,0.024451183305885783,0,399.99999984612026,399.9616370965907,399.923470454798
0.031322762773098145,0.033766905559492105,0.01402578778339116,399.9999997973012,399.94965980203824,399.8999631903743
0.014128128288453506,0.04106257911171259,0,399.99999981520153,399.9539454624512,399.90818549108843
0.05196144352905039,0.029999933388776427,0,239.99999995216265,239.98770206216474,239.97486651583102
0.060000000006783724,0,0,199.99999997705925,199.99429174643046,199.988634814191
0,0.060000000008163995,0,199.99999997865285,199.99456194730996,199.98895759841008
0.052512086350171426,0.02086007525859293,0.020182617483526212,199.99999996273706,199.99081397624786,199.9818435967693
0.05196144352747492,0,0.029999933390765367,133.3333333194387,133.3297964263511,133.32616083160067
0.039823047898782014,0.0230936809470617,0.0384812520242333,184.61538459358871,184.60997898239677,184.60464809906705
0.021078614608265333,0.043182859672536454,0.03592955103198223,199.99999997464002,199.99362608718346,199.9872250315791
0.018311256002105685,0.0541282319679498,0.018298426395778278,199.99999997283234,199.9932829170051,199.98668205623133
0.03759126940504981,0.042366036531145644,0.01979937913693584,119.99999999680497,119.99915751860628,119.99823371815893
0.029999973376940214,0.05196142044046337,0,184.6153845899963,184.60893688960883,184.60231247692255
0,0.027298352730946187,0.07412244029863269,4.3520568040825315E-9,0.0010688163115963607,0.0021046569781758982
0.030110048666650405,0,0.07230501843399995,3.159801949190908E-9,7.539878299791769E-4,0.0014442389329165064
0,0,0.10000000000182407,0,0,0
0.0733304487176095,0,0.027886488314165812,3.75737151980079E-9,9.47464702355667E-4,0.0018993469341298465
0.023777277783430632,0.04468310642293582,0.06724477655475701,3.924912020746812E-9,0.0010027296625181965,0.0020298187378937787
0,0.06045758451867358,0.04587752132828814,3.1026705893464164E-9,7.305020377868484E-4,0.0013886950199343882
0,0.06270773593239454,0.07177548349448246,4.907797657954914E-10,1.0663115001964153E-4,1.9072620598718104E-4
0,0.05000000000159207,0.10000000000245132,0,0,0
0.016982062161880345,0.05586075207030505,0.040179014750691196,8.901426358985035E-9,0.0021385856102929418,0.004143073902802701
0.019584420588715762,0.07409031891420441,0.0563538474431037,-1.9312397003217968E-9,-4.7400581275969104E-4,-9.327841725386359E-4
0,0.07183516375753661,0.02375677134273771,3.2424293231300847E-9,8.220353095917498E-4,0.0016541079522847343
0,0.10000000000227739,0.050000000001275524,0,0,0
0.047853727403145946,0.028367264574088082,0.0681956575402487,4.722570432470928E-9,0.0011768657848046922,0.0023426935617051254
0.060311843848207064,0,0.05908889322485858,3.4006095110377266E-9,7.823776581774467E-4,0.0014576420110070112
0.03274687589031177,0.032742612000333564,0.10000000000176647,0,0,0
0.050000000000903974,0,0.10000000000176225,0,0,0
0.06045758451786481,0.045877521327134914,0,9.192397198594006E-9,0.002200223842806145,0.004227707838717879
0.07183516375716224,0.023756771342259217,0,6.60992067633662E-9,0.0015999925024784427,0.0031148478168387525
0.10000000000259686,0,0,0,0,0
0.02729835273103029,0.07412244029745735,0,4.688880898440883E-9,0.0011496251327494434,0.0022607192801543247
0,0.10000000000234692,0,0,0,0
0,0.10000000000212456,0.10000000000141919,0,0,0
0.06941638959343996,0.031237170252456446,0.034940841180114424,2.619098908854811E-9,6.769176466733088E-4,0.0013859696277195137
0.10000000000113882,0,0.050000000001882115,0,0,0
0.10000000000235658,0.032746875890258126,0.03274261200045922,0,0,0
0.03740969637515819,0.06527074362195019,0.10000000000132339,0,0,0
0.032458821999406924,0.10000000000155561,0.06762299017479577,0,0,0
0.047910867429323836,0.06139557010095961,0.048989223464447666,8.281682315438203E-10,2.0112896053992902E-4,3.9419761354043996E-4
0.03767010005385729,0.06662858125931043,0.022506767384542402,2.6172050577298374E-9,6.487237513731916E-4,0.0012861197204528535
0.03731627701690546,0.10000000000161682,0.037421832609871294,0,0,0
0.07167977294251089,0.04035197184412532,0.07456871897541453,-1.093230518015712E-9,-2.672068738077332E-4,-5.242390001304278E-4
0.06539775079229183,0.0370328094804536,0.1000000000012204,0,0,0
0.10000000000018741,0,0.10000000000101887,0,0,0
0.1000000000012382,0.0374096963751223,0.06527074362211968,0,0,0
0.06270773593172464,0.07177548349364635,0,2.9928170735859376E-10,8.035085799814102E-5,1.7005259063158554E-4
0.06481136726146328,0.05940867930623367,0.021755971403192097,-1.1255624435839311E-9,-2.717002114995481E-4,-5.258683329774425E-4
