% Model,AdvancedModel.mph
% Version,COMSOL 5.5.0.359
% Date,"Sep 7 2024, 13:38"
% Dimension,3
% Nodes,902
% Expressions,2
% Description,Dependent variable Tcell
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0,Tcell (kg/m^3) @ t=0.2
0,0,6.0E-4,399.99999999999994,399.2269673228169
4.39E-4,0,4.39E-4,399.99999999999994,399.32498443886
0,4.4E-4,4.4E-4,399.99999999999994,399.28530746607447
5.06E-4,0,8.89E-4,399.9999999999999,399.25924659557364
0,0,0,399.99999999999994,399.2490526152336
0,5.07E-4,8.89E-4,400,399.341132530071
0,0,0.0012,399.99999999999994,399.20486830067375
4.39E-4,4.39E-4,0,399.99999999999994,399.28715186979275
0,6.0E-4,0,399.99999999999994,399.23102775421285
6.0E-4,0,0,399.99999999999994,399.23277015717304
5.07E-4,9.0E-4,0,400,399.317291204897
0,9.02E-4,5.07E-4,400,399.2889902137513
0,0.0012,0,399.99999999999994,399.19500136030723
9.01E-4,0,5.07E-4,400,399.28470755656065
8.89E-4,5.06E-4,0,400,399.28036800096214
0.0012,0,0,399.99999999999994,399.2064222763404
0,5.69E-4,0.001438,399.9999999999999,399.2823456026297
5.69E-4,0,0.001438,400,399.35136429957595
0,0,0.0018,399.9999999999999,399.24965204316214
0,6.86E-4,0.001886,399.99999999999994,399.2936765122203
6.85E-4,0,0.001886,399.99999999999994,399.28784178096663
8.54E-4,5.8E-4,0.001383,399.9999999999999,399.2989019475926
0.00112,0,0.001661,400,399.19950789002115
0.001438,5.69E-4,0,399.9999999999999,399.34090370021823
0.001139,0,0.001051,399.99999999999994,399.3322635097988
0.001474,0,5.04E-4,400,399.3043407166791
0.0018,0,0,400,399.24135311899414
0.0015,0,0.001401,399.99999999999994,399.25682395471273
0.001968,0,4.44E-4,399.99999999999994,399.2714151019663
0.001886,6.85E-4,0,399.9999999999999,399.26592975588363
0,0.00112,0.00166,400,399.2162575193438
0,0.001139,0.001051,399.99999999999994,399.3325485721646
4.99E-4,0.001465,0,399.9999999999999,399.3049287037424
0,0.001474,5.04E-4,399.9999999999999,399.33121111683766
0,0.0018,0,399.99999999999994,399.2459444531327
4.22E-4,0.001931,0,399.99999999999994,399.2811871130724
0,0.001968,4.44E-4,399.99999999999994,399.27374483022624
7.01E-4,7.08E-4,7.02E-4,399.9999999999999,399.2511369872856
0.001051,0.001138,0,399.99999999999994,399.32464591572335
0,0.0024,0,399.99999999999994,399.20354757646453
0,0.00237,7.19E-4,399.9999999999999,399.22765410553643
6.98E-4,0.00233,0,399.99999999999994,399.20610426018663
0,5.94E-4,0.002346,399.9999999999999,399.1987951406855
5.94E-4,0,0.002346,399.9999999999999,399.19726486544977
0,0,0.0024,399.9999999999999,399.1837548527946
7.43E-4,9.76E-4,0.001884,399.99999999999994,399.2028011382847
0.001145,0,0.002186,399.9999999999999,399.19649918348546
0,0.001145,0.002186,399.9999999999999,399.17726906369836
0,0.001583,0.001903,399.9999999999999,399.1855520508068
0,0.001148,0.002772,199.99999999999997,199.85169774645706
0,0.001667,0.002494,160,159.9674589893631
5.08E-4,0.001394,0.002607,199.99999999999997,199.85204594907555
0,0.0015,0.001401,400,399.27199020485887
6.49E-4,0.00173,0.001471,399.99999999999994,399.19536677428016
0,0.001798,9.95E-4,399.99999999999994,399.22062715128106
0,0.00195,0.001568,399.99999999999994,399.23831378614005
0,0.002271,0.001214,399.99999999999994,399.18725048137253
0.00144,7.05E-4,0.001632,399.99999999999994,399.18561969816597
0.001583,0,0.001903,400,399.21654069383885
0.00195,0,0.001568,400,399.194195801693
0.002,5.12E-4,0.001291,399.9999999999999,399.1672648556089
0.002271,0,0.001214,399.99999999999994,399.21093004275593
0.001798,0,9.95E-4,399.99999999999994,399.2693184640167
0.00237,0,7.19E-4,399.9999999999999,399.1999267104286
0.0024,0,0,399.9999999999999,399.20142893590366
0.002346,5.94E-4,0,399.99999999999994,399.2047455793967
0.001791,8.49E-4,8.61E-4,399.9999999999999,399.22480098101465
0.00166,0.00112,0,399.99999999999994,399.22136909820273
0.002186,0.001145,0,399.99999999999994,399.18026460788246
8.08E-4,0.001861,8.1E-4,399.9999999999999,399.2138120038426
9.82E-4,0.001788,0,399.99999999999994,399.23671869009314
0.001193,0.002267,0,399.99999999999994,399.20068907597374
0.001901,0.001585,0,400,399.18849495730854
0.001497,0.001572,7.37E-4,399.9999999999999,399.19252770903216
0.001557,0.001962,0,400,399.1997624733791
0.001389,0.001493,0,400,399.2607235812647
0.002772,-6.8E-19,0.001148,199.99999999999997,199.85101891470126
0.002623,4.6E-4,0.001381,160,159.9340599593538
0.002494,-6.1E-19,0.001667,199.99999999999997,199.8293533570965
0.002833,4.83E-4,8.6E-4,233.3333333333333,233.19335666504128
0.002942,-7.2E-19,5.85E-4,199.99999999999997,199.83370183660352
0.002939,4.26E-4,4.26E-4,163.63636363636363,163.59953310435338
0.003,-3.7E-19,2.49E-16,133.33333333333331,133.22163831898567
0.002942,5.85E-4,0,199.99999999999997,199.79188994576862
0.002584,9.8E-4,0.001168,180,179.94536536865292
5.06E-4,5.06E-4,0.002913,163.63636363636363,163.5846519778892
5.85E-4,-1.4E-19,0.002942,199.99999999999997,199.81203246875944
1.84E-19,-4.5E-35,0.003,133.33333333333331,133.22857841173538
0,5.85E-4,0.002942,199.99999999999997,199.8440880208611
0,0.002772,0.001148,199.99999999999997,199.89334129139527
0,0.002494,0.001667,160,159.92943556240974
5.09E-4,0.002622,0.001366,181.8181818181818,181.72690965562984
4.13E-4,0.002943,4.13E-4,163.63636363636363,163.57830242068957
5.85E-4,0.002942,0,199.99999999999997,199.79343459318227
0,0.002942,5.85E-4,199.99999999999997,199.82194628750838
0,0.003,0,133.33333333333331,133.23511733942584
4.92E-4,0.002833,8.56E-4,239.99999999999997,239.81202649879313
0.001426,0.002571,5.98E-4,216.66666666666663,216.51059500313357
0.001667,0.002494,0,199.99999999999997,199.86165564403652
0.001148,0.002772,0,199.99999999999997,199.88921877987516
8.58E-4,0.002834,4.84E-4,181.8181818181818,181.76714087485166
0.00231,4.4E-4,0.001863,233.3333333333333,233.19227024366114
0.001882,4.49E-4,0.002293,222.22222222222217,222.04445487046127
0.001667,-4.1E-19,0.002494,199.99999999999997,199.83866592322863
0.002121,-5.2E-19,0.002121,160,159.96981259182422
0.002071,8.23E-4,0.002008,228.57142857142853,228.42187888425323
0.001461,5.74E-4,0.002557,183.3333333333333,183.24076061285595
0.001148,-2.8E-19,0.002772,199.99999999999997,199.85303359754562
9.18E-4,4.66E-4,0.002818,181.8181818181818,181.75838874364183
0.001726,8.38E-4,0.002307,166.66666666666663,166.61895466333092
5.04E-4,0.00187,0.002291,218.18181818181816,218.04240589999242
0,0.002121,0.002121,199.99999999999997,199.8310565735463
9.81E-4,0.00265,0.001008,133.33333333333331,133.33048963168008
4.66E-4,9.18E-4,0.002818,184.61538461538458,184.53603527359058
9.55E-4,0.001036,0.002649,133.33333333333331,133.32089965477164
0.002251,0.001532,0.001258,199.99999999999997,199.87216331480184
0.001889,0.001625,0.001671,218.18181818181816,218.06681211611155
0.001867,0.001996,0.001238,171.4285714285714,171.3490118958138
5.1E-4,0.002291,0.001868,184.61538461538458,184.5424635714898
0.001467,0.002034,0.001647,218.18181818181816,218.05870049773853
0.001059,0.001162,0.001185,400,399.18544123951995
0.001444,0.002354,0.001173,160,159.9498622214807
9.93E-4,0.002368,0.001552,177.77777777777774,177.66153871877754
0.001453,0.00162,0.002065,218.18181818181816,218.04991363201506
0.001374,0.001148,0.002407,160,159.94115074055503
9.64E-4,0.001545,0.002384,177.77777777777774,177.68366948723076
0.001002,0.001993,0.002005,133.33333333333331,133.3049437631782
0.002214,0.001184,0.001641,153.84615384615384,153.783854285184
0.001829,0.001232,0.002034,133.33333333333331,133.300390254435
0.002416,7.89E-4,0.001593,124.99999999999999,124.95712029436625
0.0028,9.33E-4,5.4E-4,169.2307692307692,169.18488610378864
0.002772,0.001148,0,199.99999999999997,199.86971176996494
0.002506,0.001409,8.57E-4,222.22222222222217,222.0309005673664
0.002627,0.001399,3.78E-4,166.66666666666663,166.60749884537353
0.002494,0.001667,0,199.99999999999997,199.8751505443227
0.002338,0.001818,4.78E-4,181.8181818181818,181.7340387215615
0.002121,0.002121,0,199.99999999999997,199.82020187826677
0.001946,0.002231,4.87E-4,181.8181818181818,181.73957228448265
0.00177,0.00225,8.97E-4,155.55555555555551,155.52548036414387
0.002157,0.001865,9.32E-4,133.33333333333331,133.31745485456602
0.003344,0,0.001015,0,0.03531121542518168
0.003467,4.96E-4,0,0,0.00978341834045046
0.003404,0,4.54E-4,0,-0.001323431635965597
0.003661,0,0,0,0.010258992852443973
0.003947,0,5.83E-4,0,-0.006546262230572677
0.004036,6.8E-4,0,0,-0.003596234207790668
0.004462,0,0,0,0.0020582087316951833
0,5.42E-4,0.003505,0,0.001708043847555526
4.96E-4,0,0.003467,0,0.0162294768135212
0,0,0.003661,0,0.010437344764424514
0.001013,0,0.003343,0,0.014623672344361207
6.73E-4,0,0.004032,0,-0.004751747192529721
0,6.87E-4,0.004059,0,-0.0038325993423593985
0,0,0.004462,0,0.002021205080443769
0,0.003352,0.001013,0,0.04797926786142863
0,0.003102,0.001654,0,0.0040471697710126545
0,0.003467,4.96E-4,0,8.151494702467464E-4
4.96E-4,0.003467,0,0,0.01393714366281376
0,0.003661,0,0,0.007079681008996185
6.78E-4,0.004039,0,0,-0.004069045394256163
0,0.004039,6.78E-4,0,-0.005914012157281443
0,0.004462,0,0,0.0029498565141225608
0.001015,0.003344,0,0,0.008487354036407685
0.001651,0.003083,0,0,0.0237634027887195
0,0.001681,0.003087,0,-0.0035354521036638107
0.002713,0,0.002271,0,0.03230514388029841
0.001644,0,0.003089,0,0.01954974359838464
0.002209,0,0.002728,0,0.01957925504467992
0,0.002217,0.002702,0,0.023343386067860607
0,0.001073,0.00338,0,0.02442721047521432
0,0.002743,0.002234,0,0.0063651664562017676
0,0.003533,0.002257,0,-0.003919978002085864
8.02E-4,0.002941,0.001935,0,0.021568018343844243
0,0.003808,0.001513,0,-0.009760515843849332
7.87E-4,0.001949,0.002923,0,0.02514434067752438
0,0.001627,0.003806,0,-0.008512571743581259
0.003264,0,0.001696,0,0.0016071521898383169
0.003353,0.001013,0,0,0.012021907324814634
0.0031,0.001649,0,0,0.00981918962835166
0.002235,0.002723,0,0,0.026239495324865404
0.00274,0.002239,0,0,0.022065089903330927
0.003268,9.49E-4,0.001712,0,0.010348603098546266
0.0041,0,0.001277,0,-0.010749980993942462
0.002976,0.00156,0.00141,0,0.022200340525058034
0.003816,0.001096,0.001046,0,0.008559101421138002
0.00481,0,7.18E-4,0,-5.219015647565527E-4
0.004941,7.49E-4,0,0,-7.004670720950287E-4
0.005433,0,0,0,3.694151142792866E-5
0.003776,0.001564,0,0,-0.005956976855864608
0.004428,0.001277,0,0,-4.339463237460545E-4
0.00343,0,0.002402,0,-0.008888929482475456
8.64E-4,8.71E-4,0.003711,0,0.008523105564012576
0.001468,0,0.003777,0,-0.0057221757487661415
0,6.17E-4,0.004905,0,-0.0010891274266741759
0.001321,0,0.004457,0,-6.408419831199536E-4
7.44E-4,0,0.004951,0,-8.49818506880912E-4
0,0,0.005433,0,7.868442638633289E-5
0,0.001547,0.004693,0,-0.001004437857436513
8.17E-4,0.003665,8.11E-4,0,0.01168153763639564
0.001532,0.003784,0,0,-0.00849071022074726
7.67E-4,0.004937,0,0,-9.754803658272988E-4
0,0.004958,7.77E-4,0,-0.0012197713629723307
0,0.005433,0,0,1.6758242978260555E-4
0.001391,0.004466,0,0,-0.00450190395673458
0,0.004518,0.00136,0,-0.001118649163568023
0.001854,0.003474,9.72E-4,0,0.011062171444946778
0.002293,0.003431,0,0,-0.009392869466157043
0,0.002359,0.003408,0,-0.004562778827030007
0.002556,6.88E-4,0.002605,0,0.017699098800475977
0.002943,0,0.002973,0,-0.005270096800048581
0.002223,0,0.003439,0,-0.009387362068735102
0.00194,0.001142,0.00326,0,0.005154797794064155
0.002069,0,0.004329,0,6.671221610920235E-4
0.002569,0.002198,0.001499,0,0.002006452116406486
0,0.003029,0.002955,0,-0.004668763605221409
0,0.003307,0.003787,0,-5.658008716143949E-4
8.75E-4,0.002684,0.002686,0,0.004475310661761212
0,0.004065,0.003093,0,-3.738737923824855E-4
0.001172,0.003562,0.001822,0,-0.0015098623365807434
0,0.004443,0.002186,0,0.0013274479147005742
0.001126,0.001808,0.003518,0,0.001617384829222723
0,0.00241,0.00433,0,7.561951930481671E-4
0.002217,0.00195,0.002476,0,0.017098640019655564
0.002077,0.002776,0.001773,0,0.009582270889600418
0.0014,0.002585,0.002104,0,0.021826167623016944
0.001406,0.002121,0.002654,0,0.009250587657758628
0.002167,0.004343,0,0,-9.546303557879681E-4
0,9.48E-4,0.005869,0,5.221144147374007E-4
9.11E-4,0.006003,0,0,3.4957980780727385E-4
0,0.006023,9.32E-4,0,1.627778468659792E-4
0,0.006612,0,0,-1.2986020106621073E-4
0.005936,0,9.06E-4,0,2.984889057245315E-4
0.006023,9.11E-4,0,0,3.56865305079712E-5
0.006612,0,0,0,-4.83475238251198E-5
0.005104,0,0.00154,0,-2.482992959580608E-4
0.003155,0.001306,0.002518,0,-0.0011149863333434077
0.004177,0,0.00208,0,-5.190978103798177E-4
0.002984,0,0.003907,0,-0.0013296165947176855
0.003077,0.001944,7.35E-4,0,0.007472596294169693
0.003484,0.002295,0,0,-0.005548339996638935
0.00298,0.002991,0,0,-0.006853186420507404
0.002692,0.002799,0.001024,0,0.0043842004432982605
0.004687,0.001773,9.55E-4,0,-7.652252411079417E-4
0.005214,0.001586,0,0,4.012037745837297E-4
0.004029,0.003165,0,0,-0.0012856153124062566
0.003105,0.003965,0,0,-7.253231564061224E-4
0.004282,0.002159,0,0,-6.170188778678672E-4
0.003969,0.00208,0.00188,0,-0.0021671186041900916
0.004101,0,0.003092,0,0.0012455602469292131
0.0051,0.00254,0,0,3.1291635765943017E-4
0.006238,0.001942,0,0,-7.219189457610994E-5
0.001129,0.007327,0,0,-3.083047065321787E-5
0,0.007306,0.001135,0,-5.900659357819753E-6
0,0.008042,0,0,2.4179361919086856E-5
0.001749,0.001335,0.004709,0,-5.540931728545194E-4
0.001649,0,0.005196,0,2.577333017624934E-4
9.11E-4,0,0.006023,0,1.1146099227304656E-4
0,0,0.006612,0,-1.3952936152583067E-4
0,0.002263,0.005472,0,6.824401595615929E-5
0.002761,0,0.005106,0,4.707573978311194E-4
0.002225,0,0.006334,0,-2.055525347867456E-5
0,0.001929,0.006514,0,4.2295057262899386E-5
0.001387,0.004915,0.001371,0,-8.250336466880015E-4
0.001686,0.005251,0,0,6.841625842363893E-4
0,0.005332,0.001744,0,2.9946793028617805E-4
0,0.005405,0.003151,0,2.7311855151022E-5
0.002767,0.003616,0.001912,0,-5.34342961903291E-4
0,0.003372,0.004993,0,-8.20162051472029E-5
0,0.003104,0.006336,0,-5.92811337374873E-5
0.001567,0.003178,0.004399,0,1.4046642258273677E-4
0,0.004561,0.005788,0,-2.9022638243014935E-5
0,0.004493,0.00423,0,-4.070578936770648E-7
0.00263,0.00181,0.003614,0,-0.001318287614919612
0.004125,0,0.004611,0,1.04223660893491E-4
0,0.005896,0.004871,0,-3.569220821761552E-5
0.001654,0.004382,0.003218,0,1.5819478617559382E-4
0.002982,0.00521,0,0,1.953611612407637E-4
0.004142,0.004606,0,0,2.5628226211969757E-4
0,0.001129,0.007327,0,-4.1275954911320766E-5
0.001129,0,0.007327,0,-5.487851692856191E-6
0,0,0.008042,0,2.1161404396615905E-5
0,0.00137,0.008852,0,6.4402955383588714E-6
0.001339,0,0.008908,0,-4.920378133145658E-8
0,0,0.009775,0,-3.560936634172086E-6
0.001414,0.006507,0.001493,0,1.528085443668926E-5
0,0.006542,0.002232,0,-6.441503882361193E-5
0.001946,0.006318,0,0,-1.8613992124223586E-4
0,0.008757,0.001243,0,-1.0787709527587666E-6
0,0.007961,0.002492,0,-8.691067428388187E-6
0,0.007054,0.003795,0,-4.195029967290241E-7
0.001523,0.008789,0,0,1.7774433853702426E-6
0,0.009775,0,0,-2.631981367012322E-6
0,0.010727,0.001534,0,-9.347532830343723E-8
0.007283,0,0.001352,0,-3.8759800073625826E-5
0.008042,0,0,0,1.9865844018749382E-5
0.009033,0,0.001524,0,1.4190240106240127E-6
0.008965,0.001283,0,0,1.2167961122985182E-5
0.009775,0,0,0,-5.200624125024299E-6
0.007305,0.001133,0,0,-2.8935570935935715E-5
0.005413,0,0.002389,0,3.304232348367262E-4
0.005696,0.001672,0.001713,0,1.4670611856251728E-4
0.006306,0,0.001802,0,-1.3539634220509738E-4
0.00467,0.00184,0.003788,0,2.16305079606041E-4
0.004771,0.003206,0.001267,0,-9.807199540025215E-5
0.0052,0.003813,0,0,6.10617387725207E-5
0.006836,0,0.002809,0,-3.294491678818821E-5
0.005618,0,0.00388,0,-2.226524490413407E-4
0.005583,0,0.005831,0,-2.820924143212422E-5
0.006181,0.00303,0,0,-3.261969138119923E-5
0.007681,0.002652,0,0,-2.0214846305656024E-5
0.010807,0.001181,0,0,-9.849262574496281E-7
0.01096,0,0.001894,0,4.5183082134549426E-7
0.011878,0,0,0,3.7484337350011344E-7
0.003144,0.007517,0,0,-2.231168689701148E-5
0.002565,0.002573,0.006209,0,6.0931051440582E-5
0,0.002501,0.007692,0,-1.0012446850152173E-5
0.003808,0,0.006316,0,-5.941155831412538E-5
0.003007,0,0.007937,0,8.129406497480685E-7
0,0.00415,0.007624,0,1.361082214604743E-6
0.007669,0,0.0046,0,2.152026142509535E-6
0.006687,0.004205,0,0,1.111531881582893E-5
0.002758,0.00596,0.005739,0,-2.7047113009764158E-5
0,0.005987,0.006608,0,1.8936315171227762E-5
0,0.007724,0.005618,0,8.046177715359441E-6
0,0.007753,0.008042,0,2.5218282314860116E-6
0.002561,0.006107,0.002857,0,4.7189529113763307E-5
0.00541,0.005429,0,0,-2.4711899868654046E-5
0.007079,0.006139,0,0,-2.8363422951301187E-6
0.004888,0.004499,0.002188,0,2.4678643409284313E-5
0.004146,0.006206,0,0,-6.4049929173262E-5
0.005306,0.002797,0.00642,0,-3.375544401172447E-5
0.005108,0,0.007794,0,1.5881439071596998E-5
0.00747,0,0.007361,0,8.554519434623721E-6
